"UF_CITYID";"UF_CITYCODE";"UF_CITYNAME";"UF_DW_1";"UF_DW_2";"UF_DE";"UF_DU"
195664561;62000001000;"Рязань";"Y";"N";"Y";"N"
49590917;63000001000;"Самара";"Y";"Y";"Y";"N"
49581642;64000001000;"Саратов";"Y";"Y";"Y";"N"
195624250;50000028000;"Серпухов";"N";"N";"N";"N"
4539227322;91000007000;"Симферополь";"Y";"N";"Y";"N"
195835619;23000007000;"Сочи";"Y";"Y";"Y";"N"
196045386;2000014000;"Стерлитамак";"Y";"Y";"Y";"N"
195743767;11000001000;"Сыктывкар";"Y";"Y";"Y";"N"
195935727;68000004000;"Тамбов";"N";"Y";"Y";"N"
195730113;69000001000;"Тверь";"Y";"Y";"Y";"N"
195932619;70000001000;"Томск";"Y";"Y";"Y";"N"
195902175;71000001000;"Тула";"Y";"N";"Y";"N"
195742287;3000001000;"Улан-Удэ";"Y";"N";"Y";"N"
195787413;73000001000;"Ульяновск";"Y";"Y";"Y";"N"
49074572;2000001000;"Уфа";"Y";"Y";"Y";"N"
195927486;86000001000;"Ханты-Мансийск";"Y";"Y";"Y";"N"
195914521;75000001000;"Чита";"Y";"Y";"Y";"N"
195810101;61000012000;"Шахты";"Y";"N";"Y";"N"
196033732;14000001000;"Якутск";"Y";"Y";"Y";"N"
49080222;76000001000;"Ярославль";"Y";"Y";"Y";"N"
195814257;35000002000;"Череповец";"N";"N";"Y";"N"
196004668;31000001000;"Белгород";"N";"N";"Y";"N"
195733465;40000001000;"Калуга";"N";"N";"Y";"N"
195736831;67000003000;"Смоленск";"N";"N";"Y";"N"
195945648;57000001000;"Орел";"N";"N";"Y";"N"
195920199;76015001000;"Рыбинск";"N";"N";"Y";"N"
196006889;31000002000;"Старый Оскол";"N";"N";"Y";"N"
195959176;46000001000;"Курск";"N";"N";"Y";"N"
3995771900;53016000035;"Кунцево";"N";"N";"Y";"N"
195744275;11000004000;"Инта";"N";"N";"Y";"N"
195930070;83000001000;"Нарьян-Мар";"N";"N";"Y";"N"
195744289;11000005000;"Печора";"N";"N";"Y";"N"
195905075;60000001000;"Псков";"N";"N";"Y";"N"
195668251;29000004000;"Северодвинск";"N";"N";"Y";"N"
195744295;11000008000;"Ухта";"N";"N";"Y";"N"
195744287;11000007000;"Усинск";"N";"N";"Y";"N"
195955885;47006001000;"Выборг";"N";"N";"Y";"N"
195744267;11000002000;"Воркута";"N";"N";"Y";"N"
196031706;22000004000;"Бийск";"N";"N";"Y";"N"
195880525;28000001000;"Благовещенск";"N";"N";"Y";"N"
195930986;79000001000;"Биробиджан";"N";"N";"Y";"N"
195592426;38000005000;"Братск";"N";"N";"Y";"N"
195926754;87000001000;"Анадырь";"N";"N";"Y";"N"
195950074;49000001000;"Магадан";"N";"N";"Y";"N"
196009339;27000005000;"Комсомольск-на-Амуре";"N";"N";"Y";"N"
196032864;17000001000;"Кызыл";"N";"N";"Y";"N"
195625385;50032000099;"Мирный";"N";"N";"Y";"N"
196033734;14000002000;"Нерюнгри";"N";"N";"Y";"N"
195677036;24000009000;"Норильск";"N";"N";"Y";"N"
195658050;25000004000;"Находка";"N";"N";"Y";"N"
195851969;41000001000;"Петропавловск-Камчатский";"N";"N";"Y";"N"
195594886;4000001000;"Горно-Алтайск";"N";"N";"Y";"N"
196027370;22000009000;"Рубцовск";"N";"N";"Y";"N"
195932471;70000003000;"Северск";"N";"N";"Y";"N"
195654338;25000011000;"Уссурийск";"N";"N";"Y";"N"
195945480;65000001000;"Южно-Сахалинск";"N";"N";"Y";"N"
196035820;8000001000;"Элиста";"N";"N";"Y";"N"
196022466;26017002000;"Минеральные Воды";"N";"N";"Y";"N"
195803209;61000009000;"Новочеркасск";"N";"N";"Y";"N"
196033710;15000001000;"Владикавказ";"N";"N";"Y";"N"
4539387503;92000000000;"Севастополь";"N";"N";"Y";"N"
195801063;61000004000;"Волгодонск";"N";"N";"Y";"N"
195945383;66007000001;"Белоярский";"N";"N";"Y";"N"
195943155;66000022000;"Каменск-Уральский";"N";"N";"Y";"N"
195961672;45000001000;"Курган";"N";"N";"Y";"N"
195911833;89000003000;"Лабытнанги";"N";"N";"Y";"N"
195782409;74000010000;"Миасс";"N";"N";"Y";"N"
195943949;66000023000;"Нижний Тагил";"N";"N";"Y";"N"
195911631;89000001000;"Салехард";"N";"N";"Y";"N"
195854319;21000001000;"Чебоксары";"N";"N";"Y";"N"
195744361;18000001000;"Ижевск";"N";"N";"Y";"N"
195841995;58000001000;"Пенза";"N";"N";"Y";"N"
